"","locationID","Longitude","Latitude"
"IL23","IL23","-89.45","42.4425"
"DKB","DKB","-88.7056","41.9339"
"0IL9","0IL9","-88.7872","41.8547"
"IS80","IS80","-88.7892","41.9178"
"0IL8","0IL8","-88.7236","41.8725"
"DEC","DEC","-88.8656","39.8344"
"0IS3","0IS3","-89.6936","41.6608"
"1IL2","1IL2","-89.4706","40.3469"
"1IL6","1IL6","-89.4417","41.8667"
"C73","C73","-89.4461","41.8336"
"6IL5","6IL5","-89.1603","37.3864"
"1IL8","1IL8","-87.5958","40.9319"
"IS52","IS52","-87.6225","40.9278"
"01IS","01IS","-90.3181","39.0161"
"LL22","LL22","-87.9992","41.7328"
"08IS","08IS","-89.2028","37.9778"
"IS13","IS13","-87.8486","39.5792"
"47IS","47IS","-89.3569","42.4917"
"2IL1","2IL1","-89.3292","42.4139"
"DTG","DTG","-88.4408","41.1333"
"RXE","RXE","-111.805","43.8339"
"U56","U56","-111.9294","43.6425"
"ID12","ID12","-112.4664","43.1844"
"2U4","2U4","-112.5317","43.1894"
"ID24","ID24","-116.4386","48.2236"
"12ID","12ID","-114.7328","44.9681"
"SMN","SMN","-113.8814","45.1239"
"8ID8","8ID8","-113.865","45.3533"
"1ID3","1ID3","-116.7267","48.1681"
"ID19","ID19","-116.3894","48.2311"
"ID25","ID25","-116.5542","48.3508"
"68ID","68ID","-116.4667","48.25"
"SZT","SZT","-116.56","48.2994"
"26ID","26ID","-116.4036","48.3639"
"2U5","2U5","-114.8414","45.9894"
"0ID4","0ID4","-114.4703","43.0478"
"1S7","1S7","-116.3058","45.6717"
"U78","U78","-111.5817","42.6486"
"85U","85U","-114.8008","45.1"
"ID22","ID22","-116.7928","47.9781"
"U12","U12","-111.6847","43.9503"
"ID13","ID13","-116.64","47.3222"
"S72","S72","-116.5775","47.3261"
"U63","U63","-115.3167","44.4156"
"13ID","13ID","-115.0008","44.2667"
"2U7","2U7","-114.9344","44.2086"
"2U8","2U8","-115.0033","44.7264"
"ID92","ID92","-116.5228","43.7289"
"3U0","3U0","-115.3356","42.0236"
"2ID3","2ID3","-116.6772","42.7519"
"ID94","ID94","-116.6914","46.7767"
"TWF","TWF","-114.4878","42.4817"
"3U1","3U1","-115.6833","45.2683"
"3ID2","3ID2","-115.9769","46.3506"
"S87","S87","-116.9606","44.2047"
"ID23","ID23","-116.8731","47.3925"
"3U2","3U2","-115.4856","44.9122"
"ID93","ID93","-115.7133","44.8944"
"ID41","ID41","-115.3328","44.9"
"IL01","IL01","-90.4381","40.7925"
"IL05","IL05","-88.4889","42.4403"
"C00","C00","-90.7372","41.2486"
"7IS7","7IS7","-89.67","38.9139"
"ALN","ALN","-90.0461","38.8903"
"IL07","IL07","-89.2917","41.7236"
"IL11","IL11","-88.0403","42.4653"
"50IL","50IL","-88.1742","42.4889"
"7A4","7A4","-90.1694","42.4664"
"IL12","IL12","-90.465","39.88"
"IL13","IL13","-89.1808","41.4708"
"9LL3","9LL3","-88.0322","39.5492"
"79IL","79IL","-89.2303","41.7967"
"LL48","LL48","-89.7425","39.9492"
"IL94","IL94","-89.2428","40.2264"
"3IL9","3IL9","-89.3022","40.2694"
"IL31","IL31","-88.4533","39.8433"
"IL35","IL35","-89.8083","38.1819"
"44IS","44IS","-91.075","39.7447"
"K06","K06","-90.4036","39.9733"
"IL86","IL86","-90.4667","39.9361"
"IL29","IL29","-87.65","41.3"
"7IS2","7IS2","-90.0569","38.5244"
"2IL7","2IL7","-90.0278","38.5153"
"BLV","BLV","-89.8353","38.5453"
"IL36","IL36","-88.7583","42.3208"
"IL34","IL34","-88.7569","42.2144"
"0LL0","0LL0","-88.73","42.2647"
"IS83","IS83","-88.7672","42.2275"
"1IS2","1IS2","-88.5222","39.8964"
"4IL9","4IL9","-89.1208","40.8275"
"H96","H96","-88.9344","38.0067"
"IL38","IL38","-88.5319","41.7669"
"IL57","IL57","-89.0206","40.4219"
"BMI","BMI","-88.9158","40.4772"
"1IS3","1IS3","-89.0594","39.7278"
"3IS1","3IS1","-89.2089","39.7"
"3IS3","3IS3","-89.15","39.7333"
"1C5","1C5","-88.1292","41.6961"
"05IL","05IL","-88.0167","41.16"
"3IS6","3IS6","-88.8828","38.2228"
"3IS8","3IS8","-89.6156","41.2308"
"60IS","60IS","-87.9886","38.4006"
"IS86","IS86","-88.1917","41.0417"
"4IS9","4IS9","-89.9589","39.0858"
"IL46","IL46","-91.0333","40.4667"
"IL15","IL15","-90.5486","40.5694"
"CPS","CPS","-90.1561","38.5708"
"CIR","CIR","-89.2197","37.0644"
"92IL","92IL","-89.3208","37.0389"
"56IL","56IL","-88.875","42.4625"
"IL51","IL51","-88.3375","41.0381"
"CTK","CTK","-90.0747","40.5692"
"88IL","88IL","-88.7333","42.4131"
"09LL","09LL","-88.7431","42.4681"
"LL28","LL28","-88.7172","42.4328"
"MDH","MDH","-89.2519","37.7781"
"8IS1","8IS1","-89.9931","39.3078"
"CUL","CUL","-88.1231","38.0894"
"IL53","IL53","-91.0739","40.4611"
"5IS9","5IS9","-91.05","40.3306"
"IS51","IS51","-91.2039","40.4514"
"IL52","IL52","-91.1439","40.4392"
"1H8","1H8","-88.0042","39.3025"
"ENL","ENL","-89.0911","38.515"
"IL55","IL55","-88.3044","40.1603"
"IL56","IL56","-88.2536","40.2203"
"CMI","CMI","-88.2778","40.0389"
"IL58","IL58","-88.2486","41.4361"
"30LL","30LL","-90.3653","39.7542"
"IL60","IL60","-88.2911","40.7431"
"IL63","IL63","-88.675","40.7"
"11LL","11LL","-88.7631","40.7231"
"MDW","MDW","-87.7525","41.7861"
"ORD","ORD","-87.9067","41.9808"
"IGQ","IGQ","-87.5294","41.535"
"ARR","ARR","-88.4756","41.7719"
"IL68","IL68","-88.1597","42.0772"
"3CK","3CK","-88.3231","42.2067"
"PWK","PWK","-87.9014","42.1142"
"RFD","RFD","-89.0972","42.1953"
"LOT","LOT","-88.0961","41.6072"
"06C","06C","-88.1011","41.9894"
"UGN","UGN","-87.8678","42.4222"
"DPA","DPA","-88.2483","41.9069"
"IL81","IL81","-88.0417","40.9361"
"7IS3","7IS3","-89.0917","40.1433"
"33IL","33IL","-88.8983","40.1661"
"IL82","IL82","-88.8286","40.1094"
"IL16","IL16","-89.1225","37.54"
"7IS9","7IS9","-90.2361","38.4764"
"H49","H49","-90.2361","38.4522"
"1H2","1H2","-88.5336","39.0706"
"1IL0","1IL0","-89.0011","40.775"
"63IS","63IS","-88.9831","40.7692"
"2IS3","2IS3","-89.8067","41.1717"
"3IL2","3IL2","-88.0486","41.4122"
"LL13","LL13","-88.3006","38.0486"
"IS15","IS15","-88.9025","42.0325"
"5IS3","5IS3","-89.9794","38.0783"
"26IS","26IS","-88.5056","40.7667"
"4IL2","4IL2","-88.5417","40.8083"
"57IS","57IS","-88.2722","38.3167"
"FWC","FWC","-88.4128","38.3786"
"61IS","61IS","-88.3872","41.0547"
"08LL","08LL","-88.4892","41.0753"
"2IL2","2IL2","-88.4611","41.0533"
"7IL9","7IL9","-88.9933","41.5439"
"IL99","IL99","-88.9672","41.5928"
"C94","C94","-88.9481","41.5664"
"06IL","06IL","-88.87","41.5994"
"8IL6","8IL6","-88.6586","38.8594"
"9LL5","9LL5","-89.4586","39.6511"
"10C","10C","-88.375","42.4028"
"IS64","IS64","-88.8667","40.7231"
"51IS","51IS","-90.7","39.6592"
"39LL","39LL","-91.3031","40.4014"
"IL32","IL32","-88.6214","39.7833"
"68IS","68IS","-88.5597","42.1486"
"7IL7","7IL7","-88.5333","42.1267"
"3IS4","3IS4","-90.3453","42.2889"
"2IL6","2IL6","-90.63","39.1375"
"7IL8","7IL8","-88.8375","41.5189"
"HSB","HSB","-88.5503","37.8114"
"8IL0","8IL0","-88.6347","42.3528"
"0C0","0C0","-88.6325","42.4025"
"8IL2","8IL2","-88.6","42.4847"
"8IL1","8IL1","-88.6528","42.4083"
"9I0","9I0","-90.0228","40.2219"
"4IS5","4IS5","-89.9381","38.2583"
"9IL0","9IL0","-89.3861","41.0944"
"9IS9","9IS9","-88.9553","40.3344"
"9IL3","9IL3","-89.0292","40.2819"
"H07","H07","-89.6406","38.7792"
"3K4","3K4","-89.4569","39.1444"
"9IL7","9IL7","-90.1819","41.5097"
"79IS","79IS","-90.5619","39.4447"
"0C2","0C2","-88.7033","41.7708"
"6IS8","6IS8","-87.9053","39.9894"
"04IL","04IL","-89.0069","40.6375"
"82IS","82IS","-88.4028","42.1431"
"6IL2","6IL2","-88.4178","42.2211"
"IL71","IL71","-89.1522","37.8192"
"2IS4","2IS4","-91.0133","41.3369"
"1IL1","1IL1","-89.4258","39.2444"
"83IS","83IS","-89.1311","38.4264"
"IJX","IJX","-90.2383","39.7747"
"0LL1","0LL1","-90.3133","39.0942"
"0LL3","0LL3","-90.3419","39.055"
"LL49","LL49","-90.2722","39.0622"
"JOT","JOT","-88.1756","41.5178"
"5IS7","5IS7","-87.7817","40.0389"
"IS26","IS26","-88.6153","40.1833"
"70IL","70IL","-89.5683","39.4236"
"28IS","28IS","-89.3117","39.1947"
"35IS","35IS","-88.7639","39.5283"
"33IS","33IS","-88.7575","39.5444"
"62IS","62IS","-87.9075","40.0875"
"FOA","FOA","-88.4531","38.665"
"LL40","LL40","-87.8406","41.4775"
"15IL","15IL","-89.2731","41.7972"
"FEP","FEP","-89.5819","42.2461"
"C86","C86","-89.5639","42.3778"
"77LL","77LL","-90.5042","42.4236"
"22IL","22IL","-90.4","42.4119"
"GBG","GBG","-90.4311","40.9381"
"3G8","3G8","-90.11","41.4397"
"30IS","30IS","-88.625","42.0772"
"6IL0","6IL0","-88.6997","42.1314"
"6IL3","6IL3","-89.5","42.1667"
"9IS2","9IS2","-88.2675","40.4822"
"IL45","IL45","-88.0153","40.3111"
"7IS5","7IS5","-88.3781","42.1214"
"6IL6","6IL6","-88.4078","42.1183"
"LL45","LL45","-89.8217","39.1822"
"48IL","48IL","-90.2472","38.97"
"16IS","16IS","-89.0092","37.5778"
"55IS","55IS","-87.8058","39.525"
"7IL0","7IL0","-87.5778","41.2708"
"C81","C81","-88.0742","42.3247"
"IS82","IS82","-90.1781","39.3381"
"LL20","LL20","-90.2778","39.3131"
"7IL3","7IL3","-89.6019","40.4283"
"GRE","GRE","-89.3783","38.8361"
"63IL","63IL","-88.5944","42.1833"
"65IL","65IL","-88.6222","42.2008"
"62IL","62IL","-88.6042","42.1861"
"37IS","37IS","-88.6056","42.3322"
"64IL","64IL","-88.6667","42.2417"
"IS57","IS57","-88.6328","42.1797"
"MWA","MWA","-89.0111","37.755"
"3LL1","3LL1","-89.7042","38.2222"
"69IL","69IL","-88.6792","41.3653"
"34IS","34IS","-88.7167","41.4447"
"67IL","67IL","-88.65","41.3667"
"68IL","68IL","-88.6828","41.395"
"3LL3","3LL3","-87.6444","39.4461"
"9LL9","9LL9","-88.4694","39.4847"
"MTO","MTO","-88.2792","39.4781"
"IL78","IL78","-87.7922","41.1311"
"IKK","IKK","-87.8464","41.0714"
"12IL","12IL","-88.0167","41.2"
"3KK","3KK","-87.9167","41.1"
"47IL","47IL","-88.2706","40.9508"
"EZI","EZI","-89.9639","41.2053"
"32IS","32IS","-91.0094","40.1353"
"00IS","00IS","-89.1228","40.0256"
"16IL","16IL","-88.8333","42.0667"
"IS59","IS59","-88.9242","42.1339"
"IS55","IS55","-90.9422","40.5908"
"35IL","35IL","-89.2028","41.5339"
"0LL4","0LL4","-89.1231","41.4192"
"C75","C75","-89.3864","41.0192"
"2IS5","2IS5","-89.4078","40.9522"
"5IS4","5IS4","-88.7794","39.7661"
"6IL4","6IL4","-89.8861","42.1603"
"1IS4","1IS4","-89.8244","42.1344"
"LWV","LWV","-87.6056","38.7642"
"IS34","IS34","-87.6333","38.7067"
"26IL","26IL","-89.3733","42.1197"
"48LL","48LL","-89.4589","42.1253"
"28IL","28IL","-89.4192","42.0972"
"65IS","65IS","-88.9836","41.0239"
"96IL","96IL","-89.8458","42.375"
"2IS6","2IS6","-89.8225","42.4181"
"34IL","34IL","-90.1083","40.3625"
"48IS","48IS","-88.8333","40.6022"
"AAA","AAA","-89.335","40.1586"
"IL64","IL64","-89.5","40.1806"
"37IL","37IL","-89.325","40.1333"
"41IL","41IL","-89.0333","42.0694"
"93IL","93IL","-89.0231","42.0675"
"2IS7","2IS7","-89.0033","42.0606"
"3LF","3LF","-89.6747","39.1625"
"IL65","IL65","-90.7083","41.005"
"IL72","IL72","-89.0447","41.1156"
"2V3","2V3","-89.1467","41.1814"
"0IS4","0IS4","-88.6714","39.7625"
"IS00","IS00","-89.2744","40.8417"
"9IL6","9IL6","-89.3672","40.5131"
"MQB","MQB","-90.6525","40.52"
"LL27","LL27","-90.6236","40.4542"
"C45","C45","-89.7781","40.4894"
"53IL","53IL","-88.5167","40.1528"
"04IS","04IS","-88.5689","40.1786"
"55IL","55IL","-87.8222","41.2778"
"19LL","19LL","-87.9194","41.2569"
"58IL","58IL","-87.8594","41.2383"
"LL24","LL24","-87.7853","41.2069"
"59IL","59IL","-88.6464","41.9258"
"66IL","66IL","-88.5711","42.2692"
"AJG","AJG","-87.7267","38.6067"
"LL07","LL07","-89.9694","42.0639"
"C55","C55","-89.3928","42.0372"
"I63","I63","-90.8042","39.9853"
"MVN","MVN","-88.8586","38.3233"
"5LL1","5LL1","-88.975","39.65"
"5LL2","5LL2","-88.8583","39.6083"
"LL09","LL09","-88.0944","42.2806"
"5LL3","5LL3","-88.0953","39.7694"
"4IL8","4IL8","-89.3833","37.7564"
"LL10","LL10","-88.2033","41.7347"
"9IS0","9IS0","-91.3308","40.5431"
"06IS","06IS","-91.2744","40.5464"
"38IS","38IS","-91.3586","40.5819"
"6LL1","6LL1","-88.3444","39.3139"
"6LL0","6LL0","-88.425","39.3189"
"3LL6","3LL6","-89.7697","38.335"
"83LL","83LL","-89.855","38.3036"
"LL26","LL26","-89.8708","38.275"
"6LL4","6LL4","-89.8917","38.2675"
"IS73","IS73","-89.7019","41.5325"
"IL24","IL24","-89.8831","39.7075"
"6LL5","6LL5","-89.9911","39.7894"
"IL97","IL97","-89.8097","39.7369"
"69LL","69LL","-91.0489","41.2869"
"6LL6","6LL6","-89.6633","38.4917"
"0C8","0C8","-88.6056","41.5194"
"IS41","IS41","-88.5919","41.4608"
"7LL3","7LL3","-88.1569","38.9317"
"7LL8","7LL8","-89.3008","39.3525"
"LL18","LL18","-90.4528","41.0972"
"7LL9","7LL9","-89.4708","38.2617"
"8LL0","8LL0","-89.5572","38.8875"
"OLY","OLY","-88.1764","38.7219"
"2IL5","2IL5","-88.2317","37.9342"
"IL22","IL22","-90.8828","41.0072"
"LL23","LL23","-90.8778","41.0172"
"67LL","67LL","-89.3314","41.9903"
"85LL","85LL","-88.2622","41.6839"
"8N2","8N2","-88.7939","41.3997"
"5K1","5K1","-89.9911","39.42"
"PRG","PRG","-87.6697","39.7003"
"LL54","LL54","-89.03","41.7194"
"1IS5","1IS5","-89.0014","41.6531"
"1IL9","1IL9","-89.1244","40.3006"
"3LL8","3LL8","-88.5375","38.0742"
"IS60","IS60","-90.1561","39.1942"
"0C7","0C7","-89.1325","41.5219"
"81LL","81LL","-89.1736","41.5692"
"IS69","IS69","-90.5108","39.9189"
"M30","M30","-88.7506","37.1858"
"1IL4","1IL4","-90.1311","38.4186"
"81IL","81IL","-89.3592","40.4353"
"4IS6","4IS6","-89.1206","40.9306"
"83IL","83IL","-89.1039","40.8928"
"87IL","87IL","-88.2667","41.5167"
"84IL","84IL","-88.2778","41.5069"
"37LL","37LL","-89.9969","38.0478"
"MLI","MLI","-90.5072","41.4486"
"90IL","90IL","-87.5589","41.1981"
"C56","C56","-87.6797","41.3775"
"2IL9","2IL9","-87.7817","41.4328"
"03IL","03IL","-87.8167","41.4022"
"36IS","36IS","-90.7311","40.9264"
"C66","C66","-90.6311","40.9297"
"82LL","82LL","-88.9922","42.1294"
"IS40","IS40","-89.0272","42.0944"
"2K0","2K0","-88.5586","40.0053"
"LL39","LL39","-88.4778","41.2575"
"C09","C09","-88.4186","41.4242"
"4IL5","4IL5","-90.005","41.725"
"4LL9","4LL9","-89.4236","39.3436"
"05IS","05IS","-89.2639","39.7258"
"5LL0","5LL0","-87.8375","38.4083"
"3IS5","3IS5","-89.5986","39.6844"
"LL32","LL32","-88.075","40.45"
"52IL","52IL","-88.065","40.4103"
"1C1","1C1","-88.1278","40.4489"
"9LL0","9LL0","-91.2211","39.82"
"88LL","88LL","-89.8381","42.1917"
"IS19","IS19","-89.3236","42.3353"
"IS78","IS78","-89.2319","42.3667"
"8IL5","8IL5","-89.3542","42.3681"
"C15","C15","-89.6758","40.4883"
"PIA","PIA","-89.6933","40.6642"
"3MY","3MY","-89.6133","40.7953"
"2IL4","2IL4","-90.7486","39.7792"
"LL43","LL43","-89.1667","41.45"
"VYS","VYS","-89.1531","41.3519"
"LL44","LL44","-89.1092","41.2986"
"24LL","24LL","-89.4589","38.0861"
"8LL7","8LL7","-89.5944","39.5944"
"91IS","91IS","-89.5039","39.8236"
"86IS","86IS","-89.2578","40.7794"
"RSV","RSV","-87.6497","39.0161"
"LL74","LL74","-89.0486","42.0083"
"75IS","75IS","-89.1703","41.8992"
"RPJ","RPJ","-89.0783","41.8931"
"92IS","92IS","-89.4783","39.7419"
"LL75","LL75","-89.45","42.425"
"LL91","LL91","-89.4528","42.4158"
"IS93","IS93","-89.4992","42.4425"
"1C8","1C8","-89.1361","42.2917"
"LL80","LL80","-89.1611","42.3819"
"LL78","LL78","-89.1508","42.3117"
"LL79","LL79","-89.1306","42.3931"
"LL81","LL81","-89.07","42.375"
"LL89","LL89","-89.1078","42.4872"
"LL87","LL87","-88.9028","42.4556"
"LL88","LL88","-89.0889","42.475"
"LL90","LL90","-88.9","42.4458"
"LL94","LL94","-88.9994","42.4344"
"3IS2","3IS2","-90.6694","40.7406"
"95IL","95IL","-88.4","37.4861"
"LL97","LL97","-88.0847","42.3389"
"94IS","94IS","-89.1375","37.9028"
"5K4","5K4","-90.5903","40.1175"
"SLO","SLO","-88.9642","38.6428"
"0LL6","0LL6","-88.6075","41.6983"
"93LL","93LL","-88.6056","41.5944"
"IS94","IS94","-88.6611","41.6056"
"IS65","IS65","-88.6444","41.6383"
"SFY","SFY","-90.1081","42.0458"
"1LL0","1LL0","-88.6","41.3292"
"1LL2","1LL2","-88.6356","41.3006"
"4IS7","4IS7","-88.3994","40.0731"
"1LL6","1LL6","-89.7381","42.2281"
"2IL0","2IL0","-89.6769","42.1814"
"1LL7","1LL7","-89.7731","41.3497"
"2H0","2H0","-88.8456","39.4106"
"1LL8","1LL8","-87.5583","40.7889"
"2LL1","2LL1","-88.6889","41.5417"
"IS95","IS95","-88.6644","41.5586"
"2LL2","2LL2","-90.5519","41.3147"
"IS71","IS71","-89.195","42.4583"
"2LL3","2LL3","-89.0692","40.3889"
"96IS","96IS","-87.845","39.875"
"6IS0","6IS0","-88.1286","40.095"
"C16","C16","-88.1986","40.1464"
"5IL2","5IL2","-89.3878","38.0639"
"PJY","PJY","-89.3606","37.9778"
"01LL","01LL","-89.4639","38.1258"
"LL46","LL46","-88.1528","40.8353"
"PPQ","PPQ","-90.7783","39.6389"
"LL51","LL51","-88.2736","41.6042"
"72IS","72IS","-88.5744","41.6253"
"LL53","LL53","-88.4575","42.0089"
"23IS","23IS","-90.8275","40.3258"
"3LL9","3LL9","-89.6089","38.8042"
"LL55","LL55","-89.5597","41.9908"
"00IL","00IL","-89.5603","41.9783"
"70LL","70LL","-88.75","40.9417"
"2LL7","2LL7","-88.7375","40.9347"
"PNT","PNT","-88.6239","40.9244"
"71LL","71LL","-88.5597","40.8425"
"LL56","LL56","-88.5908","40.8842"
"IS66","IS66","-91.2017","40.5922"
"C77","C77","-88.8364","42.3228"
"72LL","72LL","-89.3444","41.3736"
"LL65","LL65","-89.45","41.1944"
"LL64","LL64","-89.3944","41.1994"
"88IS","88IS","-91.3822","40.0083"
"UIN","UIN","-91.1944","39.9431"
"IS24","IS24","-89.0817","39.0778"
"TIP","TIP","-88.1425","40.2936"
"91LS","91LS","-90.0372","38.2089"
"89IS","89IS","-89.975","38.2167"
"2LL5","2LL5","-88.06","39.9986"
"2LL9","2LL9","-88.6931","41.7042"
"49IL","49IL","-88.6917","41.5933"
"3LL0","3LL0","-89.0958","42.4917"
"4IS8","4IS8","-89.55","40.0217"
"SAR","SAR","-89.6986","38.1489"
"IS62","IS62","-89.4531","40.8672"
"3LL4","3LL4","-88.2014","42.4472"
"3LL5","3LL5","-88.2342","42.4644"
"SPI","SPI","-89.6781","39.8442"
"0LL2","0LL2","-90.3806","40.7389"
"4IL4","4IL4","-88.8161","39.0564"
"3K6","3K6","-89.8067","38.7328"
"0LL5","0LL5","-88.0783","40.11"
"9IL2","9IL2","-88.0264","40.065"
"IS33","IS33","-89.8406","39.0456"
"LL38","LL38","-89.8383","41.8103"
"SQI","SQI","-89.6764","41.7428"
"3IL7","3IL7","-89.0217","41.8033"
"4LL0","4LL0","-89.0933","41.8358"
"4LL1","4LL1","-89.0875","41.8542"
"9IL4","9IL4","-89.0481","41.8072"
"96LL","96LL","-87.6142","40.6161"
"4LL3","4LL3","-89.9833","42.3083"
"99IL","99IL","-89.9575","42.2867"
"IS37","IS37","-89.9928","42.3239"
"IS54","IS54","-89.1444","39.6431"
"54IL","54IL","-88.8019","41.1286"
"LL52","LL52","-88.9392","41.1611"
"85IL","85IL","-88.6358","39.6372"
"IS08","IS08","-90.2367","40.2628"
"26LL","26LL","-88.7175","42.0094"
"4LL8","4LL8","-88.6458","42.0028"
"4LL7","4LL7","-88.6667","42"
"IL54","IL54","-90.4428","40.3442"
"08IL","08IL","-89.7939","41.5769"
"TAZ","TAZ","-89.3306","39.5325"
"56IS","56IS","-88.0828","40.2431"
"IS56","IS56","-90.8853","40.0881"
"15LL","15LL","-89.5367","41.2375"
"5LL5","5LL5","-89.8839","40.7014"
"K96","K96","-88.3061","39.7808"
"5LL7","5LL7","-88.515","42.2106"
"55LL","55LL","-88.5114","42.1542"
"5LL8","5LL8","-88.14","41.1122"
"II02","II02","-84.8269","41.3856"
"8IN7","8IN7","-85.5153","39.0453"
"0IN5","0IN5","-86.0336","38.3289"
"II06","II06","-85.4708","39.97"
"1II3","1II3","-87.3942","38.9569"
"II30","II30","-87.4017","38.9067"
"IN81","IN81","-85.5575","39.7519"
"48II","48II","-85.0242","41.1903"
"12II","12II","-84.9722","39.8561"
"II32","II32","-87.3814","38.0492"
"II33","II33","-87.655","38.4608"
"66IN","66IN","-85.6369","39.7875"
"IN70","IN70","-87.0269","41.6336"
"9IN8","9IN8","-85.3581","41.2292"
"IN62","IN62","-85.2975","41.2447"
"18II","18II","-86.0683","40.12"
"II34","II34","-87.1222","39.2731"
"1I7","1I7","-87.4014","39.7125"
"II07","II07","-86.8322","39.5322"
"IN88","IN88","-86.7639","39.5133"
"09IN","09IN","-85.425","41.1208"
"29IN","29IN","-85.3861","41.0758"
"IN71","IN71","-85.5217","41.1856"
"27LL","27LL","-90.3192","38.375"
"VLA","VLA","-89.1661","38.9914"
"IS43","IS43","-88.075","39.87"
"6LL2","6LL2","-90.5572","41.1644"
"25IL","25IL","-89.8583","39.5167"
"LL34","LL34","-88.9228","40.2192"
"95IS","95IS","-91.3889","40.3706"
"56LL","56LL","-88.7711","41.755"
"98LL","98LL","-87.7836","40.7992"
"IS02","IS02","-87.7917","40.7783"
"6LL8","6LL8","-87.7253","40.7922"
"2T2","2T2","-88.5389","39.0139"
"7LL4","7LL4","-88.7589","40.1172"
"3IS7","3IS7","-89.0958","41.0867"
"8IL3","8IL3","-89.1625","41.7381"
"7LL7","7LL7","-89.1722","41.7361"
"7LL6","7LL6","-89.1442","41.6975"
"04LL","04LL","-88.2875","42.1361"
"28LL","28LL","-88.8683","39.4603"
"3LS7","3LS7","-89.5117","39.9864"
"20IS","20IS","-89.7917","42.4972"
"IS77","IS77","-89.3328","39.2208"
"12LL","12LL","-89.4861","37.5403"
"8LL1","8LL1","-88.5061","42.3567"
"8LL2","8LL2","-89.5597","41.3694"
"75LL","75LL","-89.7581","41.0836"
"2C6","2C6","-90.0744","40.7739"
"IL02","IL02","-87.9083","42.4722"
"IN19","IN19","-85.9817","39.6431"
"II05","II05","-86.0642","41.0742"
"0II0","0II0","-85.2533","40.26"
"II77","II77","-85.2606","40.2594"
"98IN","98IN","-85.3886","41.3639"
"3IN5","3IN5","-85.3714","41.3169"
"I99","I99","-85.6375","40.2325"
"8IN9","8IN9","-86.6022","39.6856"
"AID","AID","-85.6131","40.1086"
"34II","34II","-85.6028","40.0506"
"II16","II16","-84.9494","41.6369"
"ANQ","ANQ","-85.0836","41.6397"
"9II4","9II4","-85.9447","40.1725"
"IN27","IN27","-86.1158","40.1792"
"II27","II27","-85.9408","40.1667"
"1IN3","1IN3","-85.2425","41.0978"
"3II9","3II9","-85.2422","41.0972"
"2IN4","2IN4","-86.1897","41.2567"
"99IN","99IN","-86.1006","40.2061"
"4IN7","4IN7","-87.2292","40.3008"
"GWB","GWB","-85.0644","41.3072"
"22IN","22IN","-85.0075","41.3483"
"50II","50II","-86.7564","39.7736"
"IN64","IN64","-86.2039","39.5608"
"II93","II93","-86.2269","39.4839"
"7II9","7II9","-86.1797","39.5828"
"HLB","HLB","-85.2583","39.3444"
"BFR","BFR","-86.4453","38.84"
"05IN","05IN","-86.5042","39.6419"
"8II0","8II0","-85.1014","38.8569"
"06IN","06IN","-87.3036","39.2828"
"1I3","1I3","-87.0056","39.0444"
"BMG","BMG","-86.6167","39.1461"
"II01","II01","-85.2506","40.7561"
"C40","C40","-85.25","40.7167"
"88IN","88IN","-85.9322","39.5797"
"07IN","07IN","-85.9139","39.5736"
"58II","58II","-85.9","39.5208"
"I91","I91","-87.3178","38.0425"
"6II4","6II4","-87.2989","37.9822"
"IN09","IN09","-87.4119","40.5242"
"IN11","IN11","-86.0711","41.2928"
"4IN5","4IN5","-86.1483","41.3442"
"II95","II95","-86.0633","41.3644"
"0I2","0I2","-87.0997","39.4767"
"3II8","3II8","-86.2611","41.4422"
"0II2","0II2","-86.1244","41.4572"
"IN42","IN42","-86.1994","41.4903"
"0II1","0II1","-86.1533","40.4281"
"IN69","IN69","-85.8322","41.6656"
"II04","II04","-87.3692","40.8839"
"4II9","4II9","-86.8808","40.6092"
"II83","II83","-86.4342","39.8342"
"38IN","38IN","-86.3631","39.9019"
"36II","36II","-86.3486","39.8411"
"54II","54II","-86.1553","40.6244"
"0II3","0II3","-86.0378","40.6278"
"69II","69II","-84.8789","41.3694"
"B25","B25","-84.9061","41.4761"
"40II","40II","-84.8169","41.3514"
"IN76","IN76","-86.6933","41.1264"
"II08","II08","-87.4397","40.6608"
"IN63","IN63","-85.3386","40.3667"
"1IN4","1IN4","-85.9878","38.1431"
"EKM","EKM","-86.0033","41.7194"
"3C1","3C1","-86.0347","41.6569"
"3IG3","3IG3","-85.4217","41.1703"
"30IN","30IN","-85.4581","41.2092"
"BAK","BAK","-85.8964","39.2619"
"91IN","91IN","-85.9747","39.2081"
"CEV","CEV","-85.1297","39.6986"
"10IN","10IN","-85.0489","39.7183"
"1I8","1I8","-85.8917","40.5708"
"1II4","1II4","-86.1622","38.125"
"CFJ","CFJ","-86.92","39.9756"
"3IN8","3IN8","-86.3458","41.2047"
"IN54","IN54","-86.4628","41.2836"
"1II5","1II5","-86.5031","41.2472"
"37II","37II","-86.3736","41.1756"
"11IN","11IN","-86.5381","39.8189"
"II82","II82","-86.5778","39.7942"
"12IN","12IN","-87.6475","38.1186"
"II85","II85","-85.0492","40.8961"
"13IN","13IN","-84.9278","40.8153"
"9IN4","9IN4","-87.5919","38.5342"
"0IN1","0IN1","-87.5958","38.5"
"4II0","4II0","-86.7383","40.6094"
